Plant_Name,Scientific_Name,Time_to_Flower(Days),Native_Region
Abiu,Pouteria caimito,730-1095,South America
Achiote,Bixa orellana,90-120,Central & South America
Aconite,Aconitum napellus,365-730,Europe/Asia
Acorn Squash,Cucurbita pepo var. turbinata,45-60,Central & North America
Aechmea,Aechmea spp.,365-730,Central & South America
Aeonium arboreum,Aeonium arboreum,180-365,Canary Islands
African Milk Tree,Euphorbia trigona,365-730,Central Africa
African Violet,Saintpaulia ionantha,150-180,Tanzania/East Africa
Agave,Agave spp.,3650-14600,Central America/Mexico
Air Plant,Tillandsia spp.,90-120,Central & South America
Air Potato,Dioscorea bulbifera,180-210,Africa/Asia
Ajwain,Trachyspermum ammi,90-120,India/Middle East
Alahee,Psydrax odorata,60-90,Hawaii
Albany Pitcher Plant,Cephalotus follicularis,365-730,Southwestern Australia
Alligator Pepper,Aframomum danielli,1095-1460,West Africa
Allspice,Pimenta dioica,1095-1460,Caribbean
Almond,Prunus dulcis,1460-2190,Western Asia
Alocasia,Alocasia spp.,180-365,Southeast Asia
Aloe,Aloe spp.,180-365,Africa/Madagascar
Aloe aristata,Aristaloe aristata,180-365,South Africa
Aloe Vera,Aloe vera,180-365,Arabian Peninsula
Amaranth,Amaranthus spp.,60-90,Americas
American Basswood,Tilia americana,1825-3650,Eastern North America
American Beautyberry,Callicarpa americana,365,Southeastern United States
American Beech,Fagus grandifolia,1825-3650,Eastern North America
American Elm,Ulmus americana,1825-3650,Eastern North America
American Groundnut,Apios americana,90-120,North America
American Hazelnut,Corylus americana,730-1460,Eastern North America
American Hornbeam,Carpinus caroliniana,1825-3650,Eastern North America
American Sycamore,Platanus occidentalis,1825-3650,Eastern North America
Anacharis,Elodea canadensis,30-60,South America
Anemone,Anemone spp.,60-90,Europe/Asia/North America
Angel's Trumpet,Brugmansia spp.,90-120,South America
Angelica,Angelica archangelica,365,Northern Europe/Asia
Anise,Pimpinella anisum,120,East Mediterranean
Anise Hyssop,Agastache foeniculum,60-90,North America
Annatto,Bixa orellana,90-120,Central & South America
Anthurium,Anthurium andraeanum,180-270,Central & South America
Apios,Apios americana,90-120,North America
Apple,Malus domestica,1460-2190,Central Asia
Apricot,Prunus armeniaca,1095-1460,China/Central Asia
Aptenia,Aptenia cordifolia,90-120,Southern Africa
Areca Palm,Dypsis lutescens,1825-2920,Philippines/Malaysia
Arizona Walnut,Juglans major,1825-3650,Southwestern US/Mexico
Arracacha,Arracacia xanthorrhiza,180-210,South America
Arrowhead,Sagittaria latifolia,60-120,North & Central America
Arrowhead Vine,Syngonium podophyllum,120,Central & South America
Arrowroot,Maranta arundinacea,180-270,Central/South America
Arrowwood Viburnum,Viburnum dentatum,90-120,North America
Artichoke,Cynara scolymus,150-180,Mediterranean
Arugula,Eruca vesicaria,40-60,Mediterranean
Ash Meadows Gumplant,Grindelia fraxino-pratensis,60-90,Nevada
Asian Pear,Pyrus pyrifolia,730-1460,East Asia
Asparagus,Asparagus officinalis,730-1095,Europe/Western Asia
Asparagus Pea,Tetragonolobus purpureus,60-70,Mediterranean
Aster,Aster spp.,60-120,Europe/Asia/North America
Astilbe,Astilbe spp.,90-120,Asia/North America
Attenborough’s Pitcher Plant,Nepenthes attenboroughii,1460-2190,Philippines
Australian Sundew,Drosera binata,365-730,Australia
Autumn Crocus,Colchicum autumnale,180-365,Europe/North Africa/Asia
Avocado,Persea americana,730-1095,Central America
Azalea,Rhododendron spp.,365-730,Asia/Europe/North America
Azolla,Azolla filiculoides,30-60,Americas
Baby's Breath,Gypsophila paniculata,60-90,Eastern Europe/Asia
Bachelor’s Button,Centaurea cyanus,60-90,Europe
Bacopa,Bacopa monnieri,60-90,South America
Bael,Aegle marmelos,1460-2190,India/Southeast Asia
Bald Cypress,Taxodium distichum,1825-3650,Southeastern United States
Baldwin’s Eryngo,Eryngium baldwinii,60-90,Florida
Balloon Flower,Platycodon grandiflorus,90-120,East Asia
Bamboo Shoot,Bambusa spp.,60-90,East Asia
Bamboo Shoots,Bambusa spp.,30-60,Asia
Baneberry,Actaea spp.,365,North America/Eurasia
Barrel Cactus,Ferocactus spp.,1825-3650,Southwestern US/Mexico
Bartram’s Ixia,Calydorea caelestina,60-90,Florida
Basil,Ocimum basilicum,60-90,India/Asia
Basil (Holy),Ocimum tenuiflorum,60-90,India/Southeast Asia
Batata,Ipomoea batatas,90-120,South America
Bay Laurel,Laurus nobilis,365-730,Mediterranean
Beaked Hazelnut,Corylus cornuta,365-730,North America
Bear Paw,Cotyledon tomentosa,180-365,South Africa
Bee Balm,Monarda didyma,70-110,Eastern North America
Beet,Beta vulgaris,55-70,Europe/Western Asia
Begonia,Begonia spp.,60-90,Tropics (Americas/Africa/Asia)
Begonia rex,Begonia rex,60-90,Assam/India
Belgian Endive,Cichorium intybus var. foliosum,85-100,Belgium/Western Europe
Bell Pepper,Capsicum annuum,60-90,Central & South America
Belladonna Lily,Amaryllis belladonna,90-120,South Africa
Bermudagrass,Cynodon dactylon,60-90,Africa
Big Bluestem,Andropogon gerardii,365-730,North America
Bigtooth Aspen,Populus grandidentata,1825-3650,North America
Bird of Paradise,Strelitzia reginae,1095-1825,South Africa
Bird's Nest Fern,Asplenium nidus,180-365,Southeast Asia
Bishop’s Cap,Astrophytum myriostigma,365-730,Northern Mexico/Texas
Bitter Melon,Momordica charantia,60-80,South Asia
Bittersweet,Solanum dulcamara,365-730,North America/Eurasia
